T_gondii_IFAT_VALUE,Tgondii_SPratio,SP_diagnosis,clan,sex,age,hum_pop_den,sample,kay.code,id,date,sample.origin,,,
0,0.6,positive,talek,m,cub,low,6145,84,baj,7/14/93,blood,,,
0,0.09,negative,talek,m,cub,low,7584,211,linc,6/30/97,blood,,,
0,0.1,negative,talek,m,cub,low,5344,258,her,8/11/99,blood,,,
0,0.02,negative,talek,m,cub,low,4303,263,tsa,7/4/99,blood,,,
0,0.07,negative,talek,f,cub,low,4652,275,cam,9/21/99,blood,,,
40,0.05,negative,talek,f,cub,low,5799,76,hob,6/14/92,blood,,,
40,0.16,negative,talek,f,cub,low,6136,82,ger,7/12/93,blood,,,
40,0.27,negative,talek,f,cub,low,12144,145,mp,4/10/95,blood,,,
40,0.1,negative,talek,m,cub,low,3755,146,dd,4/13/95,blood,,,
40,0.05,negative,talek,m,cub,low,5019,207,nod,6/11/97,blood,,,
40,0.17,negative,talek,f,cub,low,5470,213,mali,7/4/97,blood,,,
80,0.44,doubtful,talek,f,cub,low,7338,20,rv,12/7/90,blood,,,
80,0.12,negative,talek,f,cub,low,13399,137,wm,2/9/95,blood,,,
80,0.14,negative,talek,m,cub,low,5535,161,kon,11/2/95,blood,,,
80,0.03,negative,talek,m,cub,low,5662,170,rinc,6/8/96,blood,,,
80,0.15,negative,talek,m,cub,low,5038,205,kang,6/9/97,blood,,,
160,0.09,negative,talek,f,cub,low,5765,71,pt,11/13/91,blood,,,
160,0.08,negative,talek,m,subadult,low,5658,173,pf,6/21/96,blood,,,
160,0.16,negative,talek,f,cub,low,4581,267,jut,7/11/99,blood,,,
160,0.1,negative,talek,f,cub,low,4660,272,coo,9/12/99,blood,,,
320,0.47,doubtful,talek,f,adult,low,4860,90,gan,6/7/92,blood,,,
320,0.4,negative,talek,m,cub,low,7608,212,wash,6/30/97,blood,,,
320,0.34,negative,talek,f,cub,low,3811,231,puc,3/14/98,blood,,,
320,0.44,doubtful,talek,m,subadult,low,4328,251,cuj,5/11/99,blood,,,
320,0.08,negative,talek,m,cub,low,5330,259,sch,6/24/99,blood,,,
320,0.16,negative,talek,m,cub,low,4607,268,gdz,7/21/99,blood,,,
640,0.38,negative,talek,m,adult,low,5677,175,rs,6/4/97,blood,,,
640,0.07,negative,talek,m,cub,low,4671,271,ind,10/4/99,blood,,,
640,0.45,doubtful,talek,m,subadult,low,4682,278,sco,10/25/99,blood,,,
640,0.43,doubtful,talek west,f,adult,hi,7232,727,hex,6/9/12,blood,,,
640,0.46,doubtful,serena north,f,adult,low,4039,1005,zoey,6/22/12,blood,,,
1280,0.39,negative,talek,m,adult,low,3873,26,chy,11/29/91,blood,,,
1280,0.76,positive,talek,f,subadult,low,3977,29,sx,12/28/90,blood,,,
1280,0.45,doubtful,talek,m,subadult,low,4375,51,pp,7/11/91,blood,,,
1280,0.48,doubtful,talek,m,adult,low,4059,172,pos,7/8/96,blood,,,
1280,0.86,positive,talek,f,adult,low,7452,181,sein,7/16/97,blood,,,
1280,0.51,positive,talek,m,cub,low,5043,208,darw,6/11/97,blood,,,
1280,0.38,negative,talek,m,cub,low,4358,216,dna,11/7/97,blood,,,
1280,0.65,positive,talek,m,subadult,low,6016,223,sks,7/31/97,blood,,,
1280,0.58,positive,talek,m,adult,low,5996,225,vgs,3/5/99,blood,,,
1280,0.41,doubtful,talek,f,subadult,low,5317,253,ali,4/26/99,blood,,,
1280,0.51,positive,talek,f,cub,low,4046,283,zim,11/7/99,blood,,,
2560,0.81,positive,talek,m,adult,low,4369,9,hol,10/25/92,blood,,,
2560,0.47,doubtful,talek,m,adult,low,4989,21,sy,12/19/90,blood,,,
2560,0.82,positive,talek,f,cub,low,12138,96,jab,33946,blood,,,
2560,0.43,doubtful,talek,f,cub,low,5532,162,lop,2/26/96,blood,,,
2560,0.95,positive,talek,m,adult,low,7451,189,chic,11/6/97,blood,,,
2560,0.36,negative,talek,f,subadult,low,5392,248,whh,2/22/99,blood,,,
2560,0.55,positive,talek west,f,adult,hi,7235,707,tilt,5/22/12,blood,,,
5120,0.97,positive,talek,m,subadult,low,7534,18,bud,12/1/90,blood,,,
5120,1.08,positive,talek,f,adult,low,5009,25,coch,12/15/93,blood,,,
5120,0.88,positive,talek,f,adult,low,3795,40,mw,3/4/91,blood,,,
5120,-0.01,negative,talek,f,cub,low,4699,87,gil,7/18/93,blood,,,
5120,0.81,positive,talek,m,adult,low,13591,126,mig,9/20/94,blood,,,
5120,0.94,positive,talek,f,subadult,low,5671,174,arse,8/9/96,blood,,,
5120,0.64,positive,talek,m,cub,low,4616,262,cpa,7/4/99,blood,,,
5120,0.62,positive,serena north,m,adult,low,13634,1190,mchl,7/16/15,blood,,,
10240,1.09,positive,talek,m,adult,low,5003,24,mrb,12/22/90,blood,,,
10240,0.87,positive,talek,f,subadult,low,4111,130,kl,12/17/94,blood,,,
10240,0.9,positive,talek,m,subadult,low,4115,237,ldv,3/7/99,blood,,,