,hy.id,id.reps.lion,min.dist.lion,max.dist.lion,avg.min.dist.lion,avg.dist.age.stndrzd,age.mon.lion,diagnosis,hum.pop.den,sample,kay.code,dart.date,dart.year,dob.date,sex,mom,dad,toxo.status,age.mon.dart
3,irq,1,100,100,100,1.24,8.5,negative,low,4373,128,9/25/94,1994,1/10/94,m,coch,NA,0,8.5
8,linc,1,100,100,100,1.24,4.5,negative,low,7584,211,6/30/97,1997,10/23/96,m,nav,mike,0,8.2
10,rinc,1,40,40,40,-0.24,7.8,negative,low,5662,170,6/8/96,1996,8/1/95,m,jab,fn,0,10.2
11,scby,1,100,100,100,1.24,8,negative,low,5426,127,9/23/94,1994,1/27/94,f,sd,rcn,0,7.9
12,wash,1,100,100,100,1.24,4.5,negative,low,7608,212,6/30/97,1997,10/23/96,m,nav,mike,0,8.2
13,wm,1,100,100,100,1.24,2.7,negative,low,13399,137,2/9/95,1995,7/7/94,f,jab,NA,0,7.1
14,wr,1,100,100,100,1.24,3.2,negative,low,3982,139,2/12/95,1995,6/22/94,f,bb,rcn,0,7.7
1,bern,1,100,100,100,1.24,11.8,positive,low,6141,83,7/19/93,1993,10/1/92,f,lg,hol,1,9.6
2,darw,1,40,40,40,-0.24,7.3,positive,low,5043,208,6/11/97,1997,7/1/96,m,jb,fa,1,11.3
4,jab,3,4,30,18,-0.78,8.83,positive,low,12138,96,12/8/92,1992,2/2/92,f,bb,NA,1,10.2
5,jj,1,20,20,20,-0.74,10.5,positive,low,5604,106,8/12/93,1993,9/15/92,f,dj,zip,1,10.9
6,jone,1,40,40,40,-0.24,7.8,positive,low,5541,169,6/8/96,1996,8/1/95,f,jab,fn,1,10.2
7,krk,1,20,20,20,-0.74,5.2,positive,low,4883,98,12/9/92,1992,1/10/92,m,kb,mrb,1,11
9,mh,1,100,100,100,1.24,3.2,positive,low,7778,140,3/6/95,1995,6/22/94,f,bb,NA,1,8.4
15,zulu,1,10,10,10,-0.98,10.2,positive,low,12163,138,2/10/95,1995,5/1/94,m,pt,NA,1,9.4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,infected (mean ± sd),,8.10375,2.867123683,,,,,,,,,,,
,,,,,infected (mean ± sd),,5.6,2.435843454,,,,,,,,,,,