"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank","a.cycle.start","a.cycle.stop","a.state","a.trimester","a.cub1","a.cub2","a.notes","age.1st.part.mon","age.1st.part.days","long.mon","long.days","cur.age.2017.mon","cur.age.2019.mon","dob.mon","migratn.seas","dob.yr","hum.pres","part.rt.censr","mean.meth.cnt","mean.meth.quint"
"41","juno","cubsub",1,70.72102091,70.72,NA,2009-07-18,2009-07-18,454,14.91,454,14.91,"subadult",2009-01-28,NA,NA,NA,"dls","double check: alive but with disappeared date",2008-04-20,NA,"talek",2009-02-24,NA,NA,"f","r","mrph",NA,"twin",1,"2010-03-07","2010-10-04","l","4","gus",NA,"",22.5,686,NA,NA,104.4,128.4,4,"none",2008,"med",1,-5.15879518072289,"Q1 (lowest)"
"42","keng","cubsub",1,74.29120809,74.29,NA,2015-05-05,2015-05-05,414,13.6,414,13.6,"subadult",2014-11-12,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-03-17,NA,"talek",2014-12-18,NA,NA,"f","r","aqua",NA,"twin",2,"2017-02-07",NA,"l","4","kpop",NA,"kpop missing from weaning table - no early death",34.8,1058,NA,NA,33.5,57.5,3,"none",2014,"hi",1,-1.58879518072288,"Q2"
"43","kier","cubsub",1,72.62004786,72.62,NA,2001-11-07,2001-11-07,317,10.41,317,10.41,"cub",2001-11-03,NA,NA,2005-06-03,"dls","speared",2000-12-25,NA,"talek",2002-04-07,NA,NA,"f","r","mali",NA,"twin",2,"2004-11-02","2005-06-03","l","4","ptn",NA,"",46.3,1408,53.3,1621,192.2,216.2,12,"none",2000,"med",1,-3.25879518072288,"Q1 (lowest)"
"44","loki","cubsub",1,75.21749914,75.22,NA,2009-09-18,2009-09-18,516,16.95,516,16.95,"subadult",2009-01-28,NA,NA,2014-04-12,"dead","humans (poison - april 2014)",2008-04-20,NA,"talek",2009-02-24,NA,NA,"f","r","mrph",NA,"twin",2,"2010-11-02","2011-08-06","l","4","alde","endr","",30.4,926,71.7,2183,104.4,128.4,4,"none",2008,"med",1,-0.65879518072289,"Q2"
"45","lugi","cubsub",1,78.21474593,78.21,NA,2014-12-08,2014-12-08,477,15.67,477,15.67,"subadult",2014-05-21,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-08-18,NA,"talek",2014-07-10,NA,NA,"f","r","cart",NA,"twin",2,"2017-08-05",NA,"l","4","moos",NA,"moos missing from weaning table - no early death",47.6,1448,NA,NA,40.5,64.5,8,"migration",2013,"hi",1,2.3312048192771,"Q5"
"46","lust","cubsub",1,75.00948972,75.01,NA,2013-03-14,2013-03-14,555,18.23,555,18.23,"subadult",2012-07-07,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-09-06,NA,"talek",2012-06-10,NA,NA,"f","r","arg",NA,"twin",2,"2015-01-30","2015-08-22","l","4","tndr",NA,"",40.8,1242,NA,NA,63.9,87.8,9,"migration",2011,"hi",1,-0.868795180722884,"Q2"
"47","lyco","cubsub",1,78.00799988,78.01,NA,2015-03-01,2015-03-01,705,23.16,705,23.16,"subadult",2014-02-27,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-03-26,NA,"talek",2013-08-19,NA,NA,"f","r","bab",NA,"twin",NA,"2017-02-01",NA,"l","4","guav","clem","guav, clem missing from weaning table - no early death",46.3,1408,NA,NA,45.2,69.2,3,"none",2013,"hi",1,2.13120481927712,"Q5"
"48","maa","cubsub",1,79.17263364,79.17,NA,2014-07-30,2014-07-30,656,21.55,656,21.55,"subadult",2013-07-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-10-12,NA,"talek",2013-09-16,NA,NA,"f","r","art",NA,NA,NA,"2015-03-01","2015-10-20","l","4","flil","hibi","",28.6,870,NA,NA,50.7,74.6,10,"migration",2012,"hi",1,3.29120481927711,"Q5"
"49","mac","cubsub",1,75.86999431,75.87,NA,2002-06-26,2002-06-26,320,10.51,320,10.51,"cub",NA,NA,NA,NA,NA,"poison?",2001-08-10,NA,"talek",2002-10-05,NA,NA,"f","r","ger",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.7,208.7,8,"migration",2001,"med",0,-0.00879518072288477,"Q2"
"50","merl","cubsub",1,79.03663998,79.04,NA,2014-08-04,2014-08-04,379,12.45,379,12.45,"subadult",2014-04-23,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-21,NA,"talek",2014-05-26,NA,NA,"f","r","hex",NA,"twin",NA,"2016-11-01","2017-07-16","l","4","pip","ptri","",39.4,1199,NA,NA,41.4,65.4,7,"migration",2013,"hi",1,3.16120481927712,"Q5"
"51","mono","cubsub",1,75.15571488,75.16,NA,2009-07-06,2009-07-06,349,11.47,349,11.47,"cub",2009-04-18,NA,NA,2013-03-15,"dls","humans (snare?)",2008-07-22,NA,"talek",2009-08-20,NA,NA,"f","r","adon",NA,"twin",1,"2011-09-26","2012-09-20","l","4","bnt",NA,"",38.1,1161,55.7,1697,101.3,125.3,7,"migration",2008,"med",1,-0.718795180722893,"Q2"
"52","msl","cubsub",1,76.21226503,76.21,NA,2007-06-15,2007-06-15,557,18.3,557,18.3,"subadult",2006-09-02,NA,NA,2011-02-01,"dls","inferred dead",2005-12-05,NA,"talek",2006-11-13,NA,NA,"f","r","mp",NA,"twin",1,"2009-07-26","2009-08-24","l","4","phtm",NA,"phtm missing from weaning table - cub died < 1yr",43.7,1329,61.9,1884,132.9,156.9,12,"none",2005,"med",1,0.331204819277104,"Q3"
"53","mt","cubsub",1,75.94035186,75.94,NA,2011-06-24,2011-06-24,546,17.94,546,17.94,"subadult",2010-08-03,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2009-12-25,NA,"talek",2011-01-03,NA,NA,"f","r","adon",NA,"twin",1,"2013-07-28","2014-03-26","l","4","ewar",NA,"",43.1,1311,51.5,1569,84.2,108.2,12,"none",2009,"hi",1,0.0612048192771084,"Q3"
"54","neon","cubsub",1,77.06609372,77.07,NA,2012-06-15,2012-06-15,537,17.64,537,17.64,"subadult",2011-11-18,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-12-26,NA,"talek",2011-12-05,NA,NA,"f","r","yog",NA,"single",NA,"2014-03-24","2014-11-06","l","4","gng",NA,"",38.9,1184,NA,NA,72.2,96.2,12,"none",2010,"hi",1,1.1912048192771,"Q4"
"55","obam","cubsub",1,78.5936883,78.59,NA,2009-11-15,2009-11-15,367,12.06,367,12.06,"subadult",2009-07-16,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2008-11-13,NA,"talek",NA,NA,NA,"f","r","nav",NA,"twin",2,"2011-11-20","2012-01-27","l","4","acia",NA,"acia missing from weaning table - cub died < 1yr",36.2,1102,64.9,1976,97.6,121.6,11,"none",2008,"med",1,2.71120481927711,"Q5"
"56","odd","cubsub",1,75.55196054,75.55,NA,2013-06-25,2013-06-25,539,17.71,539,17.71,"subadult",2012-09-14,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-01-03,NA,"talek",2013-04-13,"error",NA,"f","r","mgta",NA,"twin",1,"2015-08-03","2016-11-20","l","4","tena",NA,"",43,1308,NA,NA,60,83.9,1,"none",2012,"hi",1,-0.328795180722892,"Q2"
"57","oke","cubsub",1,76.04700079,76.05,NA,1999-03-04,1999-03-04,465,15.28,465,15.28,"subadult",1998-08-06,NA,NA,2003-01-31,"dead","humans",1997-11-24,NA,"talek",1999-03-13,NA,NA,"f","r","hg","mer","twin",1,"2001-01-06","2002-05-25","l","4","jup","mrs","",37.4,1139,62.2,1894,229.2,253.2,11,"none",1997,"low",1,0.171204819277108,"Q3"
"58","parc","cubsub",1,77.14083041,77.14,NA,2009-07-20,2009-07-20,363,11.93,363,11.93,"cub",2009-05-04,NA,NA,NA,"dls","double check: alive but with disappeared date",2008-07-22,NA,"talek",2009-07-18,NA,NA,"f","r","adon",NA,"twin",2,"2011-11-26","2012-05-15","l","4","hoth",NA,"hoth missing from weaning table - cub died < 1yr",40.1,1222,NA,NA,101.3,125.3,7,"migration",2008,"med",1,1.26120481927711,"Q4"
"59","pbut","cubsub",1,74.37419531,74.37,NA,2014-06-08,2014-06-08,339,11.14,339,11.14,"cub",2014-04-30,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-04,NA,"talek",2014-02-15,NA,NA,"f","r","parc",NA,"twin",1,"2015-12-30","2016-09-26","l","4","mvua","hail","",29.9,909,NA,NA,42,65.9,7,"migration",2013,"hi",1,-1.50879518072288,"Q2"
"60","pces","cubsub",1,77.78915356,77.79,NA,2015-08-09,2015-08-09,615,20.2,615,20.2,"subadult",2014-11-05,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-12-02,NA,"talek",2014-12-08,NA,NA,"f","r","twst",NA,"twin",1,"2016-12-28",NA,"l","4","misu",NA,"misu missing from weaning table - no early death",36.9,1122,NA,NA,37,61,12,"none",2013,"hi",1,1.91120481927712,"Q4"
"61","puc","cubsub",1,68.82898999,68.83,NA,1998-03-14,1998-03-14,286,9.4,286,9.4,"cub",1998-01-21,NA,NA,2006-12-23,"dls","inferred dead",1997-06-01,NA,"talek",1998-08-11,NA,NA,"f","r","ger","fn","twin",1,"2000-07-07","2001-08-18","l","4","tang","sals","",37.2,1132,114.7,3492,235,259,6,"migration",1997,"low",1,-7.04879518072289,"Q1 (lowest)"
"62","rama","cubsub",1,73.29846898,73.3,NA,2014-07-07,2014-07-07,545,17.9,545,17.9,"subadult",2013-09-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-08,NA,"serena.n",2014-04-07,NA,NA,"f","r","tnsl",NA,"single",NA,"2015-12-18","2016-04-16","l","4","twnk","opie","twnk, opie missing from weaning table - cub died < 1yr",35.3,1074,NA,NA,47.8,71.7,1,"none",2013,"low",1,-2.57879518072289,"Q1 (lowest)"
"63","roos","cubsub",1,76.59068163,76.59,NA,2008-10-13,2008-10-13,591,19.42,591,19.42,"subadult",NA,NA,NA,NA,"dls","double check: alive but with disappeared date",2007-03-02,NA,"talek",2008-07-24,NA,NA,"f","r","nav",NA,NA,NA,"2010-11-14","2011-11-11","l","4","idi",NA,"",44.4,1353,NA,NA,118,142,3,"none",2007,"med",1,0.711204819277114,"Q3"
"64","rump","cubsub",1,78.79819646,78.8,NA,2001-06-01,2001-06-01,341,11.2,341,11.2,"cub",2001-01-27,NA,NA,2003-05-17,"dls","humans (spear)",2000-06-25,NA,"talek",2001-08-25,NA,NA,"f","r","wr",NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,1056,198.2,222.2,6,"migration",2000,"med",0,2.92120481927711,"Q5"
"65","styr","cubsub",1,74.18162641,74.18,NA,2013-06-01,2013-06-01,594,19.51,594,19.51,"subadult",2012-06-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-10-16,NA,"talek",2012-10-27,NA,NA,"f","r","pan",NA,"twin",2,"2014-07-20","2015-10-26","l","4","fry","chur","",33.1,1008,NA,NA,62.5,86.5,10,"migration",2011,"hi",1,-1.69879518072288,"Q1 (lowest)"
"66","suk","cubsub",1,76.81516802,76.82,NA,2010-07-06,2010-07-06,336,11.04,336,11.04,"cub",2010-05-22,NA,NA,2012-07-07,"dls","inferred dead",2009-08-04,NA,"talek",2010-07-30,NA,NA,"f","r","mp",NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,1068,88.9,112.9,8,"migration",2009,"hi",0,0.941204819277104,"Q3"
"67","tast","cubsub",1,74.22500822,74.23,NA,2015-08-02,2015-08-02,691,22.7,691,22.7,"subadult",2014-06-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-09-10,NA,"talek",2014-08-05,NA,NA,"f","r","gel",NA,NA,NA,"2017-05-11",NA,"l","4","kaka","pelt","kaka, pelt missing from weaning table - no early death",44,1339,NA,NA,39.7,63.7,9,"migration",2013,"hi",1,-1.64879518072289,"Q2"
"68","tato","cubsub",1,77.55212541,77.55,NA,2014-02-19,2014-02-19,451,14.82,451,14.82,"subadult",2013-08-06,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-11-25,NA,"talek",2013-11-02,NA,NA,"f","r","loki",NA,"twin",NA,"2017-01-24",NA,"l","4","swpo",NA,"swpo missing from weaning table - no early death",50,1521,NA,NA,49.2,73.2,11,"none",2012,"hi",1,1.67120481927711,"Q4"
"69","tia","cubsub",1,73.73827944,73.74,NA,2003-12-30,2003-12-30,315,10.35,315,10.35,"cub",2003-10-27,NA,NA,2006-12-09,"dead","lions",2003-02-18,NA,"talek",2004-02-12,NA,NA,"f","r","mrph",NA,"twin",1,"2005-11-21","2006-11-27","l","4","mas","tgw","",33.1,1007,45.7,1390,166.4,190.4,2,"none",2003,"med",1,-2.13879518072289,"Q1 (lowest)"
"70","tian","cubsub",1,75.72407474,75.72,NA,2014-08-01,2014-08-01,393,12.91,393,12.91,"subadult",2014-04-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-04,NA,"talek",2014-02-15,NA,NA,"f","r","parc",NA,"twin",2,"2015-08-30","2016-08-14","l","4","bind",NA,"",25.9,787,NA,NA,42,65.9,7,"migration",2013,"hi",1,-0.15879518072289,"Q2"
"71","tnks","cubsub",1,77.08458472,77.08,NA,2014-08-08,2014-08-08,511,16.79,511,16.79,"subadult",2014-01-03,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-03-15,NA,"talek",2013-11-27,NA,NA,"f","r","alfe",NA,"single",NA,"2016-10-12","2017-06-03","l","4","dds",NA,"",42.9,1307,NA,NA,45.6,69.6,3,"none",2013,"hi",1,1.20120481927711,"Q4"
"72","tpe","cubsub",2,76.30104575,77.25,1.35,2009-09-24,2009-11-06,257,8.44,278,9.15,"cub",2009-08-05,NA,NA,2013-05-28,"dls","inferred dead",2009-01-10,NA,"talek",2009-10-29,NA,NA,"f","r","mos",NA,"twin",2,"2012-11-11","2013-05-28","l","4","clou","grnc","",46,1401,52.5,1599,95.7,119.7,1,"none",2009,"hi",1,1.37120481927711,"Q4"
"73","twst","cubsub",1,77.65458724,77.65,NA,2012-05-07,2012-05-07,431,14.16,431,14.16,"subadult",2011-11-19,NA,NA,2018-03-30,"dls","double check: alive but with disappeared date",2011-03-03,NA,"talek",2012-05-30,NA,NA,"f","r","adon",NA,"single",NA,"2013-12-03","2014-12-08","l","4","pces","trus","",33,1006,84.9,2584,70,94,3,"none",2011,"hi",1,1.77120481927712,"Q4"
"74","umbr","cubsub",1,76.35363586,76.35,NA,2015-01-31,2015-01-31,679,22.31,679,22.31,"subadult",2014-01-07,NA,NA,2018-05-01,"dls","double check: alive but with disappeared date",2013-03-23,NA,"talek",2013-12-04,NA,NA,"f","r","mgta",NA,"twin",1,"2016-11-20",NA,"l","4","mrci",NA,"mrci missing from weaning table - no early death",44,1338,61.3,1865,45.3,69.3,3,"none",2013,"hi",1,0.471204819277105,"Q3"
"75","van","cubsub",1,73.20848957,73.21,NA,2011-06-03,2011-06-03,462,15.18,462,15.18,"subadult",2010-09-29,NA,NA,2012-06-20,"dls","inferred dead",2010-02-26,NA,"talek",2011-02-25,"error",NA,"f","r","arg",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,845,82.2,106.1,2,"none",2010,"hi",0,-2.6687951807229,"Q1 (lowest)"
"76","vdg","cubsub",1,73.20665024,73.21,NA,2009-07-14,2009-07-14,607,19.94,607,19.94,"subadult",2008-07-10,NA,NA,2010-08-03,"dls","inferred dead",2007-11-15,NA,"talek",2008-11-25,NA,NA,"f","r","ali",NA,"twin",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,992,109.6,133.5,11,"none",2007,"med",0,-2.6687951807229,"Q1 (lowest)"
"77","whh","cubsub",1,73.88443073,73.88,NA,1999-02-22,1999-02-22,359,11.79,359,11.79,"cub",1998-10-02,NA,NA,2004-10-15,"dead",NA,1998-02-28,NA,"talek",1999-01-03,NA,NA,"f","r","nav","zig","single",NA,"2003-02-21","2004-01-27","l","4","bsl",NA,"",59.8,1819,79.5,2421,226.1,250.1,2,"none",1998,"low",1,-1.99879518072289,"Q1 (lowest)"
"78","wran","cubsub",1,75.47408759,75.47,NA,2011-05-20,2011-05-20,492,16.16,492,16.16,"subadult",2010-11-04,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-01-13,NA,"talek",2010-10-25,NA,NA,"f","r","ffl",NA,"twin",2,"2013-07-22","2014-05-20","l","4","sopa",NA,"",42.2,1286,NA,NA,83.6,107.6,1,"none",2010,"hi",1,-0.40879518072289,"Q2"
"79","wrth","cubsub",1,78.29408211,78.29,NA,2014-07-12,2014-07-12,622,20.43,622,20.43,"subadult",2013-07-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-10-28,NA,"talek",2013-06-03,NA,NA,"f","r","arg",NA,"twin",NA,"2016-10-08","2017-05-30","l","4","bufy","bens","",47.3,1441,NA,NA,50.1,74.1,10,"migration",2012,"hi",1,2.41120481927712,"Q5"
"80","xnon","cubsub",1,76.96143505,76.96,NA,2011-04-24,2011-04-24,466,15.31,466,15.31,"subadult",2010-10-09,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2010-01-13,NA,"talek",2010-09-14,NA,NA,"f","r","yog",NA,"twin",1,"2013-08-02","2014-04-12","l","4","shap",NA,"",42.6,1297,50.9,1550,83.6,107.6,1,"none",2010,"hi",1,1.0812048192771,"Q4"
"81","yosh","cubsub",1,75.66162619,75.66,NA,2010-07-08,2010-07-08,388,12.75,388,12.75,"subadult",NA,NA,NA,NA,NA,NA,2009-06-15,NA,"talek.e",2010-01-15,"error",NA,"f","r","cart",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,114.6,6,"migration",2009,"hi",0,-0.218795180722893,"Q2"
"82","zc","cubsub",1,77.29777249,77.3,NA,2001-10-24,2001-10-24,225,7.39,225,7.39,"cub",2001-10-09,NA,NA,2005-05-16,"dead","humans",2001-03-13,NA,"talek",2002-01-27,NA,NA,"f","r","ath",NA,"single",NA,"2004-02-06","2005-05-16","l","4","guci",NA,"",34.8,1060,50.1,1525,189.7,213.6,3,"none",2001,"med",1,1.42120481927711,"Q4"
"83","zim","cubsub",1,76.58965334,76.59,NA,1999-11-07,1999-11-07,343,11.27,343,11.27,"cub",1999-08-04,NA,NA,2002-12-12,"dls","inferred dead",1998-11-29,NA,"talek",2000-02-23,NA,NA,"f","r","cr","zig","twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,1474,217.1,241.1,11,"none",1998,"low",0,0.711204819277114,"Q3"
