"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank"
"1","acon","cubsub",1,75.57616611,75.58,NA,2011-05-05,2011-05-05,503,16.52,503,16.52,"subadult",2010-08-03,NA,NA,NA,NA,NA,2009-12-18,NA,"talek",2010-08-20,NA,NA,"m","r","hel",NA,1,1
"2","adon","cubsub",1,77.81591859,77.82,NA,2002-02-08,2002-02-08,325,10.68,325,10.68,"cub",2001-10-08,NA,NA,2017-12-04,"dls","double check: alive but with disappeared date",2001-03-20,NA,"talek",2001-12-06,NA,NA,"f","r","mrph",NA,1,2
"3","alde","cubsub",1,76.06680775,76.07,NA,2012-04-30,2012-04-30,546,17.94,546,17.94,"subadult",2011-06-08,NA,NA,NA,NA,NA,2010-11-01,NA,"talek",2011-08-10,NA,NA,"m","r","loki",NA,1,1
"4","alfe","cubsub",1,77.83946655,77.84,NA,2009-09-15,2009-09-15,253,8.31,253,8.31,"cub",2009-08-02,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-01-05,NA,"talek",2010-01-15,NA,NA,"f","r","guci",NA,1,1
"5","ali","cubsub",1,76.63070309,76.63,NA,1999-04-26,1999-04-26,630,20.7,630,20.7,"subadult",1998-08-18,NA,NA,2017-06-11,"dls","double check: alive but with disappeared date",1997-08-04,NA,"talek",1998-06-21,NA,NA,"f","r","bb","mike",1,1
"6","alls","cubsub",1,76.02867007,76.03,NA,2013-02-28,2013-02-28,470,15.44,470,15.44,"subadult",2012-07-04,NA,NA,2013-05-04,"dls","inferred dead",2011-11-16,NA,"talek",2012-09-23,NA,NA,"f","r","hex",NA,1,1
"7","alum","cubsub",1,74.25417095,74.25,NA,2004-04-28,2004-04-28,277,9.1,277,9.1,"cub",2004-03-03,NA,NA,NA,NA,NA,2003-07-26,NA,"talek",2004-03-16,NA,NA,"m","r","ath",NA,NA,NA
"8","amar","cubsub",1,75.44144078,75.44,NA,1995-10-25,1995-10-25,273,8.97,273,8.97,"cub",1995-10-24,NA,NA,2003-06-13,"dls","inferred dead",1995-01-25,NA,"talek",1996-07-15,NA,NA,"f","r","ua","fn",1,1
"9","ani","cubsub",1,74.40947996,74.41,NA,2001-05-11,2001-05-11,541,17.77,541,17.77,"subadult",2000-07-03,NA,NA,2001-05-11,"dls","inferred dead",1999-11-17,NA,"talek",2000-08-28,NA,NA,"f","r","bail",NA,1,1
"10","arlo","cubsub",1,67.10265106,67.1,NA,2001-11-13,2001-11-13,347,11.4,347,11.4,"cub",2001-08-18,NA,NA,2001-11-13,"dls","inferred dead",2000-12-01,NA,"talek",NA,NA,NA,"m","r","bail",NA,0,NA
"11","art","cubsub",1,70.8572456,70.86,NA,2001-05-13,2001-05-13,415,13.63,415,13.63,"subadult",2000-09-30,NA,NA,2014-01-03,"dead","humans (spear)",2000-03-24,NA,"talek",2000-12-14,NA,NA,"f","r","mrph",NA,1,1
"12","ath","cubsub",1,78.03475892,78.03,NA,1999-11-26,1999-11-26,371,12.19,371,12.19,"subadult",1999-07-19,NA,NA,2004-03-31,"dead","snake bite",1998-11-20,NA,"talek",1999-12-17,NA,NA,"f","r","mrph",NA,1,1
"13","avce","cubsub",1,79.17708557,79.18,NA,2011-05-31,2011-05-31,459,15.08,459,15.08,"subadult",2011-01-10,NA,NA,2013-05-27,"dls","inferred dead",2010-02-26,NA,"talek",2011-01-25,"error",NA,"f","r","arg",NA,1,2
"14","bacc","cubsub",1,71.87385294,71.87,NA,2001-05-25,2001-05-25,427,14.03,427,14.03,"subadult",2000-09-30,NA,NA,NA,NA,NA,2000-03-24,NA,"talek",2000-12-13,NA,NA,"m","r","mrph",NA,1,2
"15","baez","cubsub",2,72.88670643,72.42,0.66,2005-12-14,2006-06-20,424,13.93,518,17.02,"subadult",2005-07-02,NA,NA,NA,"dls","double check: alive but with disappeared date",2004-10-16,NA,"talek",2005-08-05,NA,NA,"f","r","bail",NA,1,1
"16","bag","cubsub",1,73.37499794,73.37,NA,1993-07-15,1993-07-15,464,15.24,464,15.24,"subadult",1993-03-04,NA,NA,NA,NA,NA,1992-04-07,NA,"talek",NA,NA,NA,"m","r","02",NA,1,2
"17","baj","cubsub",1,68.90524824,68.91,NA,1993-07-14,1993-07-14,194,6.37,194,6.37,"cub",1994-01-01,NA,NA,NA,NA,NA,1993-01-01,NA,"talek",1993-09-14,NA,NA,"m","r","bb","fn",1,2
"18","bass","cubsub",1,75.20829745,75.21,NA,2001-06-23,2001-06-23,363,11.93,363,11.93,"cub",2001-03-18,NA,NA,2001-06-22,"dls","inferred dead",2000-06-25,NA,"talek",NA,"dbw",NA,"f","r","amar",NA,1,1
"19","bata","cubsub",1,76.73770466,76.74,NA,2013-06-02,2013-06-02,564,18.53,564,18.53,"subadult",2012-06-29,NA,NA,NA,NA,NA,2011-11-16,NA,"talek",2012-09-23,NA,NA,"m","r","hex",NA,1,2
"20","bgl","cubsub",1,77.46657603,77.47,NA,2005-06-12,2005-06-12,326,10.71,326,10.71,"cub",2005-04-13,NA,NA,NA,NA,NA,2004-07-21,NA,"talek",2005-09-06,NA,NA,"m","r","adon",NA,1,2
"21","birk","cubsub",1,76.505135485,76.51,NA,2014-06-30,2014-06-30,344,11.3,344,11.3,"cub",2014-04-23,NA,NA,NA,NA,NA,2013-07-21,NA,"talek",2014-05-26,NA,NA,"m","r","hex",NA,1,NA
"22","blue","cubsub",1,78.94405899,78.94,NA,2009-07-07,2009-07-07,503,16.52,503,16.52,"subadult",2008-10-07,NA,NA,2012-06-30,"dls","inferred dead",2008-02-20,NA,"talek",2009-01-22,NA,NA,"f","r","mos",NA,1,NA
"23","bncl","cubsub",1,77.11912413,77.12,NA,2014-02-15,2014-02-15,469,15.41,469,15.41,"subadult",2013-07-29,NA,NA,NA,NA,NA,2012-11-03,NA,"talek",2013-09-23,NA,NA,"m","r","amaz",NA,1,NA
"24","bnt","cubsub",1,78.96434121,78.96,NA,2013-05-07,2013-05-07,590,19.38,590,19.38,"subadult",2012-07-21,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-09-25,NA,"talek",2012-09-20,NA,NA,"f","r","mono",NA,0,NA
"25","boa","cubsub",1,72.99070767,72.99,NA,2002-07-09,2002-07-09,355,11.66,355,11.66,"cub",2002-01-23,NA,NA,NA,NA,NA,2001-07-19,NA,"talek",2002-11-08,NA,NA,"m","r","ali",NA,0,NA
"26","bora","cubsub",1,81.2972558,81.3,NA,2012-06-01,2012-06-01,526,17.28,526,17.28,"subadult",2011-12-06,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-12-23,NA,"talek",2012-04-11,NA,NA,"f","r","art",NA,0,NA
"27","brgr","cubsub",1,76.19953208,76.2,NA,2013-05-28,2013-05-28,576,18.92,576,18.92,"subadult",2012-09-19,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-10-30,NA,"talek",2012-12-11,NA,NA,"f","r","cen",NA,1,1
"28","bsl","cubsub",1,77.1972763,77.2,NA,2004-11-06,2004-11-06,625,20.53,625,20.53,"subadult",2003-12-14,NA,NA,2006-07-19,"dls","inferred dead",2003-02-20,NA,"talek",2004-01-27,NA,NA,"f","r","whh",NA,NA,NA
"29","bsp","cubsub",1,75.90787513,75.91,NA,2000-05-28,2000-05-28,400,13.14,400,13.14,"subadult",1999-12-18,NA,NA,2001-05-08,"dls","inferred dead",1999-04-24,NA,"talek",2000-03-02,NA,NA,"f","r","mp","zig",1,2
"30","bulm","cubsub",1,72.74056891,72.74,NA,2015-05-07,2015-05-07,417,13.7,417,13.7,"subadult",2014-10-19,NA,NA,2018-01-07,"dls","double check: alive but with disappeared date",2014-03-16,NA,"talek",2015-01-25,NA,NA,"m","r","alfe",NA,1,2
"31","buu","cubsub",1,75.89228768,75.89,NA,2015-05-28,2015-05-28,438,14.39,438,14.39,"subadult",2014-10-19,NA,NA,2016-05-25,"dls","inferred dead",2014-03-16,NA,"talek",2015-01-24,NA,NA,"m","r","alfe",NA,1,1
"32","byte","cubsub",1,70.87341993,70.87,NA,2014-09-17,2014-09-17,613,20.14,613,20.14,"subadult",2013-08-08,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-12,NA,"talek",2013-10-31,NA,NA,"f","r","buar",NA,1,NA
"33","caha","cubsub",1,77.46423585,77.46,NA,2015-07-09,2015-07-09,465,15.28,465,15.28,"subadult",2014-11-23,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-03-31,NA,"talek",2015-01-31,NA,NA,"m","r","ffl",NA,0,NA
"34","cart","cubsub",1,76.58615443,76.59,NA,2007-06-25,2007-06-25,565,18.56,565,18.56,"subadult",2006-09-14,NA,NA,NA,"dls","double check: alive but with disappeared date",2005-12-07,NA,"talek",2006-11-12,NA,NA,"f","r","nav",NA,0,NA
"35","cash","cubsub",1,80.3415481,80.34,NA,2004-01-26,2004-01-26,344,11.3,344,11.3,"cub",2003-10-03,NA,NA,NA,"dls","double check: alive but with disappeared date",2003-02-16,NA,"mara.river",NA,NA,NA,"f","r","chip",NA,1,1
"36","chac","cubsub",1,76.43072896,76.43,NA,2000-07-15,2000-07-15,192,6.31,192,6.31,"cub",NA,NA,NA,2003-01-02,"dls","fate unknown",2000-01-05,NA,"mara.river",NA,NA,NA,"f","r","mlt?",NA,NA,NA
"37","chad","cubsub",1,75.64914741,75.65,NA,2001-09-04,2001-09-04,254,8.34,254,8.34,"cub",2001-07-24,NA,NA,2001-09-09,"dls","inferred dead",2000-12-24,NA,"talek",2001-07-05,NA,NA,"m","r","cr",NA,1,2
"38","chco","cubsub",1,77.62252074,77.62,NA,2015-01-20,2015-01-20,728,23.92,728,23.92,"subadult",2013-12-26,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-22,NA,"talek",2013-11-17,NA,NA,"f","r","ffl",NA,NA,NA
"39","chle","cubsub",1,78.76638918,78.77,NA,2014-02-02,2014-02-02,486,15.97,486,15.97,"subadult",2013-06-07,NA,NA,2016-03-26,"dls","fate unknown",2012-10-04,NA,"talek",2013-08-28,NA,NA,"m","r","hel",NA,1,1
"40","chob","cubsub",1,78.75356838,78.75,NA,2001-06-19,2001-06-19,567,18.63,567,18.63,"subadult",2001-03-29,NA,NA,NA,NA,NA,1999-11-30,NA,"talek",2000-03-11,"error",NA,"m","r","par",NA,0,NA
"41","chw","cubsub",1,75.55955293,75.56,NA,2000-06-17,2000-06-17,456,14.98,456,14.98,"subadult",1999-09-24,NA,NA,2013-07-25,"dls","inferred dead",1999-03-19,NA,"talek",2000-02-28,NA,NA,"f","r","sein","bp",0,NA
"42","cida","cubsub",1,77.52583,77.53,NA,2005-07-30,2005-07-30,723,23.75,723,23.75,"subadult",NA,"sugu",NA,NA,NA,NA,2003-08-07,NA,"talek",2004-04-12,"error",NA,"m","r","coo",NA,NA,NA
"43","cnet","cubsub",1,68.43585852,68.44,NA,2003-07-07,2003-07-07,694,22.8,694,22.8,"subadult",2002-08-04,NA,NA,NA,NA,NA,2001-08-12,NA,"talek",2002-08-08,NA,NA,"m","r","hem",NA,0,NA
"44","cnti","cubsub",1,76.33740504,76.34,NA,2003-07-11,2003-07-11,422,13.86,422,13.86,"subadult",2003-04-09,NA,NA,2011-05-30,"dls","inferred dead",2002-05-15,NA,"talek",2003-09-08,NA,NA,"f","r","hml",NA,1,NA
"45","cous","cubsub",1,77.13718164,77.14,NA,2004-04-16,2004-04-16,410,13.47,410,13.47,"subadult",2003-10-28,NA,NA,NA,NA,NA,2003-03-03,NA,"talek",2004-02-14,NA,NA,"m","r","ali",NA,NA,NA
"46","csac","cubsub",1,79.4284565,79.43,NA,2004-05-21,2004-05-21,386,12.68,386,12.68,"subadult",2003-12-15,NA,NA,2005-01-29,"dls","inferred dead",2003-05-01,NA,"talek",2004-04-26,NA,NA,"m","r","csn",NA,NA,NA
"47","csn","cubsub",1,77.45718877,77.46,NA,1999-01-29,1999-01-29,348,11.43,348,11.43,"cub",1998-08-19,NA,NA,2005-05-03,"dead","lions",1998-02-15,NA,"talek",1998-12-14,NA,NA,"f","r","bsh","fn",0,NA
"48","ctz","cubsub",1,80.10757421,80.11,NA,2005-05-05,2005-05-05,313,10.28,313,10.28,"cub",2005-04-29,NA,NA,2006-05-28,"dls","inferred dead",2004-06-26,NA,"talek",2005-08-02,NA,NA,"f","r","ali",NA,1,1
"49","cuj","cubsub",1,66.05127515,66.05,NA,1999-05-11,1999-05-11,671,22.04,671,22.04,"subadult",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-08-06,NA,NA,"m","r","kip",NA,1,2
"50","cy","cubsub",1,74.53961831,74.54,NA,2012-05-27,2012-05-27,575,18.89,575,18.89,"subadult",2011-05-25,NA,NA,NA,NA,NA,2010-10-30,NA,"talek",2011-08-09,NA,NA,"m","r","aqua",NA,1,1
"51","darw","cubsub",1,66.26418377,66.26,NA,1997-06-11,1997-06-11,345,11.33,345,11.33,"cub",1996-12-24,NA,NA,NA,NA,NA,1996-07-01,NA,"talek",1997-06-01,NA,NA,"m","r","jb","fa",0,NA
"52","deb","cubsub",1,78.31702342,78.32,NA,1996-07-24,1996-07-24,258,8.48,258,8.48,"cub",1996-06-25,NA,NA,1996-08-12,"dls","inferred dead",1995-11-09,NA,"talek",NA,"dbw",NA,"f","r","dj","fa",1,1
"53","decm","cubsub",1,74.78748161,74.79,NA,2014-07-12,2014-07-12,546,17.94,546,17.94,"subadult",2013-08-08,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-12,NA,"talek",2013-10-31,NA,NA,"f","r","buar",NA,1,NA
"54","dion","cubsub",1,72.0611318,72.06,NA,2011-06-19,2011-06-19,684,22.47,684,22.47,"subadult",2010-03-26,NA,NA,2012-03-20,"dls","inferred dead",2009-08-04,NA,"talek",2010-07-30,NA,NA,"f","r","mrph",NA,0,NA
"55","dna","cubsub",1,70.00923263,70.01,NA,1997-11-07,1997-11-07,319,10.48,319,10.48,"cub",1997-06-14,NA,NA,NA,NA,NA,1996-12-23,NA,"talek",1997-07-24,NA,NA,"m","r","gil",NA,1,1
"56","dra","cubsub",1,77.30325921,77.3,NA,2009-07-03,2009-07-03,596,19.58,596,19.58,"subadult",2008-07-10,NA,NA,2012-06-12,"dead","car",2007-11-15,NA,"talek",2008-12-03,NA,NA,"f","r","ali",NA,1,1
"57","ein","cubsub",1,78.3918916,78.39,NA,2007-06-24,2007-06-24,420,13.8,420,13.8,"subadult",NA,NA,NA,NA,"dls","double check: alive but with disappeared date",2006-04-30,NA,"fig.tree",NA,NA,NA,"f","r","bel",NA,1,NA
"58","ffl","cubsub",1,72.39787814,72.4,NA,2004-05-03,2004-05-03,310,10.18,310,10.18,"cub",2004-04-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2003-06-28,NA,"talek",2004-06-23,NA,NA,"f","r","mp",NA,1,1
"59","frr","cubsub",1,77.21087036,77.21,NA,2001-04-18,2001-04-18,297,9.76,297,9.76,"cub",2001-04-12,NA,NA,2001-12-09,"dls","inferred dead",2000-06-25,NA,"talek",2001-09-11,"error",NA,"m","r","jj",NA,0,NA
"60","fxtr","cubsub",1,76.96308791,76.96,NA,2013-05-08,2013-05-08,570,18.73,570,18.73,"subadult",2012-06-05,NA,NA,2016-05-09,"dls","inferred dead",2011-10-16,NA,"talek",2012-06-10,NA,NA,"f","r","dra",NA,1,1
"61","gala","cubsub",1,76.4358169,76.44,NA,2013-09-04,2013-09-04,607,19.94,607,19.94,"subadult",2012-09-15,NA,NA,2014-04-12,"dead","humans (poison - april 2014)",2012-01-06,NA,"talek",2012-07-17,NA,NA,"f","r","hel",NA,0,NA
"62","gdfi","cubsub",1,76.375244,76.38,NA,2013-12-31,2013-12-31,401,13.17,401,13.17,"subadult",NA,NA,NA,NA,NA,NA,2012-11-25,NA,"talek.w",2013-10-12,"error",NA,"m","r","roos",NA,NA,NA
"63","ge","cubsub",1,77.5568791,77.56,NA,2011-07-06,2011-07-06,558,18.33,558,18.33,"subadult",2010-07-08,NA,NA,2012-07-14,"dls","inferred dead",2009-12-25,NA,"talek",2011-01-03,NA,NA,"f","r","adon",NA,1,2
"64","gel","cubsub",2,74.88010249,74.4,0.68,2009-09-13,2010-07-29,251,8.25,410,13.49,"cub",2009-07-30,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-01-05,NA,"talek",2010-01-27,NA,NA,"f","r","guci",NA,1,2
"65","gofa","cubsub",1,71.77965346,71.78,NA,2015-05-04,2015-05-04,512,16.82,512,16.82,"subadult",2014-07-07,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-12-08,NA,"talek",2014-07-06,NA,NA,"f","r","bora",NA,1,1
"66","gonz","cubsub",1,69.06256097,69.06,NA,1997-06-09,1997-06-09,276,9.07,276,9.07,"cub",1997-05-13,NA,NA,NA,NA,NA,1996-09-06,NA,"talek",1997-09-15,NA,NA,"m","r","hob","tz",0,NA
"67","goof","cubsub",1,75.84885581,75.85,NA,2014-09-19,2014-09-19,676,22.21,676,22.21,"subadult",NA,NA,NA,NA,NA,NA,2012-11-12,NA,"talek.w",2013-10-24,"error",NA,"f","r","juno",NA,NA,NA
"68","gsmk","cubsub",1,76.47960893,76.48,NA,2013-05-24,2013-05-24,539,17.71,539,17.71,"subadult",2012-07-18,NA,NA,2013-08-17,"dls","inferred dead",2011-12-02,NA,"talek",2012-10-13,NA,NA,"f","r","sbl",NA,1,2
"69","guci","cubsub",1,75.6006363,75.6,NA,2004-11-22,2004-11-22,291,9.56,291,9.56,"cub",2004-09-01,NA,NA,2012-01-24,"dls","unk",2004-02-05,NA,"talek",2005-05-14,NA,NA,"f","r","zc",NA,0,NA
"70","gui","cubsub",1,76.84060421,76.84,NA,2000-07-12,2000-07-12,516,16.95,516,16.95,"subadult",1999-10-28,NA,NA,2003-02-14,"dead","humans",1999-02-12,NA,"talek",2000-02-22,NA,NA,"f","r","amar","chas",1,1
"71","hem","cubsub",1,68.47572888,68.48,NA,1998-11-30,1998-11-30,430,14.13,430,14.13,"subadult",1998-07-07,NA,NA,2006-12-22,"dls","inferred dead",1997-09-26,NA,"talek",1998-08-10,NA,NA,"f","r","who","fa",1,1
"72","her","cubsub",1,72.31944135,72.32,NA,1999-08-11,1999-08-11,264,8.67,264,8.67,"cub",1999-07-19,NA,NA,NA,NA,NA,1998-11-20,NA,"talek",1999-12-09,NA,NA,"m","r","mrph",NA,1,2
"73","hob","cubsub",1,69.47061164,69.47,NA,1992-06-14,1992-06-14,330,10.84,330,10.84,"cub",1992-04-07,NA,NA,1999-05-06,"dls","inferred dead",1991-07-20,NA,"talek",1992-10-01,NA,NA,"f","r","es","int",1,2
"74","hon","cubsub",1,76.59828236,76.6,NA,2009-07-12,2009-07-12,450,14.78,450,14.78,"subadult",2008-12-03,NA,NA,2014-04-03,"dead","poison (april 2014 incident)",2008-04-18,NA,"talek",2009-04-15,"error",NA,"f","r","mp",NA,1,2
"75","hoo","cubsub",1,77.11971609,77.12,NA,2000-04-29,2000-04-29,379,12.45,379,12.45,"subadult",1999-11-28,NA,NA,2001-12-16,"dls","inferred dead",1999-04-16,NA,"talek",2000-06-03,NA,NA,"f","r","nav","chas",0,NA
"76","hrm","cubsub",1,76.45101396,76.45,NA,2005-06-10,2005-06-10,386,12.68,386,12.68,"subadult",2005-03-01,NA,NA,NA,NA,NA,2004-05-20,NA,"talek",2005-03-15,NA,NA,"m","r","mrph",NA,1,2
"77","hrp","cubsub",1,77.27004396,77.27,NA,2001-06-05,2001-06-05,345,11.33,345,11.33,"cub",2001-03-18,NA,NA,2006-01-06,"dls","inferred dead",2000-06-25,NA,"talek",2001-07-15,NA,NA,"f","r","amar",NA,1,2
"78","hum","cubsub",1,75.25372437,75.25,NA,2006-03-29,2006-03-29,515,16.92,515,16.92,"subadult",2005-09-24,NA,NA,2006-07-07,"dead","humans",2004-10-30,NA,"talek",2005-08-29,NA,NA,"m","r","mp",NA,1,1
"79","ika","cubsub",1,76.50396531,76.5,NA,2014-06-28,2014-06-28,519,17.05,519,17.05,"subadult",2013-08-10,NA,NA,NA,NA,NA,2013-01-25,NA,"talek",2013-10-23,NA,NA,"m","r","hrpy",NA,1,NA
"80","jas","cubsub",1,77.01991611,77.02,NA,2000-07-30,2000-07-30,470,15.44,470,15.44,"subadult",1999-12-03,NA,NA,NA,NA,NA,1999-04-17,NA,"talek",2000-07-09,NA,NA,"m","r","gol","darw",1,1
"81","jc","cubsub",1,77.62392498,77.62,NA,2006-03-26,2006-03-26,526,17.28,526,17.28,"subadult",2005-07-02,NA,NA,NA,NA,NA,2004-10-16,NA,"talek",2005-07-30,NA,NA,"m","r","bail",NA,1,2
"82","jlt","cubsub",1,76.53164774,76.53,NA,2014-09-15,2014-09-15,541,17.77,541,17.77,"subadult",2014-01-07,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-03-23,NA,"talek",2013-12-04,NA,NA,"m","r","mgta",NA,1,2
"83","jone","cubsub",1,74.13833083,74.14,NA,1996-06-08,1996-06-08,312,10.25,312,10.25,"cub",1996-04-16,NA,NA,1997-05-25,"dls","inferred dead",1995-08-01,NA,"talek",1996-07-15,NA,NA,"f","r","jab","fn",1,1
"84","jord","cubsub",1,72.42151733,72.42,NA,2009-10-23,2009-10-23,460,15.11,460,15.11,"subadult",2009-05-04,NA,NA,NA,NA,NA,2008-07-20,NA,"talek",2009-07-14,NA,NA,"m","r","ffl",NA,1,2
"85","juno","cubsub",1,70.72102091,70.72,NA,2009-07-18,2009-07-18,454,14.91,454,14.91,"subadult",2009-01-28,NA,NA,NA,"dls","double check: alive but with disappeared date",2008-04-20,NA,"talek",2009-02-24,NA,NA,"f","r","mrph",NA,1,1
"86","jup","cubsub",1,77.48362917,77.48,NA,2001-10-20,2001-10-20,288,9.46,288,9.46,"cub",2001-09-18,NA,NA,2002-12-17,"dls","fate unknown",2001-01-05,NA,"talek",2002-05-25,"error",NA,"m","r","oke",NA,1,2
"87","kdy","cubsub",1,74.66350442,74.66,NA,2001-10-24,2001-10-24,386,12.68,386,12.68,"subadult",2001-07-30,NA,NA,NA,NA,NA,2000-10-03,NA,"talek",2002-07-19,NA,NA,"m","r","nav",NA,1,2
"88","keng","cubsub",1,74.29120809,74.29,NA,2015-05-05,2015-05-05,414,13.6,414,13.6,"subadult",2014-11-12,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-03-17,NA,"talek",2014-12-18,NA,NA,"f","r","aqua",NA,1,2
"89","kier","cubsub",1,72.62004786,72.62,NA,2001-11-07,2001-11-07,317,10.41,317,10.41,"cub",2001-11-03,NA,NA,2005-06-03,"dls","speared",2000-12-25,NA,"talek",2002-04-07,NA,NA,"f","r","mali",NA,1,2
"90","kik","cubsub",1,73.9462749,73.95,NA,2004-01-27,2004-01-27,429,14.09,429,14.09,"subadult",2003-10-01,NA,NA,NA,NA,NA,2002-11-24,NA,"talek",2003-09-12,NA,NA,"m","r","art",NA,NA,NA
"91","kryp","cubsub",1,77.39102336,77.39,NA,2009-10-31,2009-10-31,730,23.98,730,23.98,"subadult",2008-09-16,NA,NA,NA,NA,NA,2007-11-01,NA,"talek",2008-08-28,NA,NA,"m","r","yog",NA,0,NA
"92","ksi","cubsub",1,72.20820854,72.21,NA,2006-03-08,2006-03-08,429,14.09,429,14.09,"subadult",2005-10-17,NA,NA,NA,NA,NA,2005-01-03,NA,"talek",2006-02-08,NA,NA,"m","r","art",NA,0,NA
