"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank"
"93","ktn","cubsub",1,75.63719225,75.64,NA,2001-08-02,2001-08-02,230,7.56,230,7.56,"cub",NA,NA,NA,NA,NA,NA,2000-12-15,NA,"talek.w",2001-06-15,NA,NA,"m","r","csn",NA,0,NA
"94","lav","cubsub",1,76.02853557,76.03,NA,2009-08-06,2009-08-06,533,17.51,533,17.51,"subadult",2008-10-15,NA,NA,NA,NA,NA,2008-02-20,NA,"talek",2008-10-23,NA,NA,"m","r","mos",NA,1,1
"95","ldv","cubsub",1,70.88801995,70.89,NA,1999-03-07,1999-03-07,468,15.37,468,15.37,"subadult",1998-08-06,NA,NA,2007-04-23,"dead","lions",1997-11-24,NA,"talek",1999-03-13,NA,NA,"m","r","hg","mer",1,2
"96","loki","cubsub",1,75.21749914,75.22,NA,2009-09-18,2009-09-18,516,16.95,516,16.95,"subadult",2009-01-28,NA,NA,2014-04-12,"dead","humans (poison - april 2014)",2008-04-20,NA,"talek",2009-02-24,NA,NA,"f","r","mrph",NA,1,2
"97","lugi","cubsub",1,78.21474593,78.21,NA,2014-12-08,2014-12-08,477,15.67,477,15.67,"subadult",2014-05-21,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-08-18,NA,"talek",2014-07-10,NA,NA,"f","r","cart",NA,1,2
"98","luo","cubsub",1,76.20578453,76.21,NA,2004-12-06,2004-12-06,303,9.95,303,9.95,"cub",2004-09-01,NA,NA,NA,NA,NA,2004-02-07,NA,"talek",2004-10-07,NA,NA,"m","r","art",NA,1,1
"99","lust","cubsub",1,75.00948972,75.01,NA,2013-03-14,2013-03-14,555,18.23,555,18.23,"subadult",2012-07-07,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-09-06,NA,"talek",2012-06-10,NA,NA,"f","r","arg",NA,1,2
"100","lyco","cubsub",1,78.00799988,78.01,NA,2015-03-01,2015-03-01,705,23.16,705,23.16,"subadult",2014-02-27,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-03-26,NA,"talek",2013-08-19,NA,NA,"f","r","bab",NA,1,NA
"101","maa","cubsub",1,79.17263364,79.17,NA,2014-07-30,2014-07-30,656,21.55,656,21.55,"subadult",2013-07-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-10-12,NA,"talek",2013-09-16,NA,NA,"f","r","art",NA,NA,NA
"102","mac","cubsub",1,75.86999431,75.87,NA,2002-06-26,2002-06-26,320,10.51,320,10.51,"cub",NA,NA,NA,NA,NA,"poison?",2001-08-10,NA,"talek",2002-10-05,NA,NA,"f","r","ger",NA,1,1
"103","mdsn","cubsub",1,64.18512697,64.19,NA,2003-09-22,2003-09-22,306,10.05,306,10.05,"cub",2003-09-22,NA,NA,2004-12-23,"dls","fate unknown",2002-11-20,NA,"talek",2004-02-11,NA,NA,"m","r","nav",NA,1,NA
"104","meko","cubsub",1,76.19711172,76.2,NA,2015-01-17,2015-01-17,361,11.86,361,11.86,"cub",2014-08-11,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-01-21,NA,"talek",2015-01-16,NA,NA,"m","r","juno",NA,1,2
"105","merl","cubsub",1,79.03663998,79.04,NA,2014-08-04,2014-08-04,379,12.45,379,12.45,"subadult",2014-04-23,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-21,NA,"talek",2014-05-26,NA,NA,"f","r","hex",NA,1,NA
"106","mge","cubsub",1,76.90117701,76.9,NA,2004-06-15,2004-06-15,617,20.27,617,20.27,"subadult",2003-08-08,NA,NA,NA,NA,NA,2002-10-07,NA,"talek",2003-04-01,NA,NA,"m","r","puc",NA,NA,NA
"107","mino","cubsub",1,78.22204538,78.22,NA,2012-06-14,2012-06-14,242,7.95,242,7.95,"cub",2012-06-22,NA,NA,NA,NA,NA,2011-10-16,NA,"talek",2012-11-29,NA,NA,"m","r","pan",NA,1,1
"108","mnr","cubsub",1,74.64124219,74.64,NA,2003-10-04,2003-10-04,318,10.45,318,10.45,"cub",2003-10-02,NA,NA,NA,NA,NA,2002-11-20,NA,"talek",2004-02-10,NA,NA,"m","r","nav",NA,1,NA
"109","moil","cubsub",1,77.41347975,77.41,NA,2002-09-27,2002-09-27,321,10.55,321,10.55,"cub",2002-09-10,NA,NA,2003-01-15,"dls","inferred dead",2001-11-10,NA,"talek",2002-11-30,NA,NA,"m","r","bail",NA,NA,NA
"110","mojo","cubsub",1,72.74949991,72.75,NA,2000-07-28,2000-07-28,254,8.34,254,8.34,"cub",2000-07-27,NA,NA,NA,NA,NA,1999-11-17,NA,"talek",2000-08-28,NA,NA,"m","r","bail",NA,1,2
"111","mono","cubsub",1,75.15571488,75.16,NA,2009-07-06,2009-07-06,349,11.47,349,11.47,"cub",2009-04-18,NA,NA,2013-03-15,"dls","humans (snare?)",2008-07-22,NA,"talek",2009-08-20,NA,NA,"f","r","adon",NA,1,1
"112","mrs","cubsub",1,76.21877499,76.22,NA,2001-08-16,2001-08-16,223,7.33,223,7.33,"cub",2001-09-18,NA,NA,NA,NA,NA,2001-01-05,NA,"talek",2002-05-16,NA,NA,"m","r","oke",NA,1,1
"113","msl","cubsub",1,76.21226503,76.21,NA,2007-06-15,2007-06-15,557,18.3,557,18.3,"subadult",2006-09-02,NA,NA,2011-02-01,"dls","inferred dead",2005-12-05,NA,"talek",2006-11-13,NA,NA,"f","r","mp",NA,1,1
"114","mt","cubsub",1,75.94035186,75.94,NA,2011-06-24,2011-06-24,546,17.94,546,17.94,"subadult",2010-08-03,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2009-12-25,NA,"talek",2011-01-03,NA,NA,"f","r","adon",NA,1,1
"115","neon","cubsub",1,77.06609372,77.07,NA,2012-06-15,2012-06-15,537,17.64,537,17.64,"subadult",2011-11-18,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-12-26,NA,"talek",2011-12-05,NA,NA,"f","r","yog",NA,0,NA
"116","nola","cubsub",1,77.25373921,77.25,NA,2001-06-02,2001-06-02,250,8.21,250,8.21,"cub",2001-07-02,NA,NA,2002-03-27,"dls","inferred dead",2000-09-25,NA,"talek",2001-08-15,NA,NA,"f","r","mp",NA,0,NA
"117","ntz","cubsub",1,77.48948608,77.49,NA,2001-10-30,2001-10-30,309,10.15,309,10.15,"cub",2001-11-14,NA,NA,2002-12-27,"dls","fate unknown",2000-12-25,NA,"talek",2002-04-07,NA,NA,"m","r","mali",NA,1,1
"118","nxn","cubsub",1,76.97914915,76.98,NA,2001-09-03,2001-09-03,335,11.01,335,11.01,"cub",2001-07-30,NA,NA,NA,NA,NA,2000-10-03,NA,"talek",2002-07-11,NA,NA,"m","r","nav",NA,1,1
"119","obam","cubsub",1,78.5936883,78.59,NA,2009-11-15,2009-11-15,367,12.06,367,12.06,"subadult",2009-07-16,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2008-11-13,NA,"talek",NA,NA,NA,"f","r","nav",NA,1,2
"120","odd","cubsub",1,75.55196054,75.55,NA,2013-06-25,2013-06-25,539,17.71,539,17.71,"subadult",2012-09-14,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-01-03,NA,"talek",2013-04-13,"error",NA,"f","r","mgta",NA,1,1
"121","oke","cubsub",1,76.04700079,76.05,NA,1999-03-04,1999-03-04,465,15.28,465,15.28,"subadult",1998-08-06,NA,NA,2003-01-31,"dead","humans",1997-11-24,NA,"talek",1999-03-13,NA,NA,"f","r","hg","mer",1,1
"122","oly","cubsub",1,74.95706557,74.96,NA,1997-06-12,1997-06-12,583,19.15,583,19.15,"subadult",1996-06-24,NA,NA,NA,NA,NA,1995-11-07,NA,"talek",1996-09-17,NA,NA,"m","r","gil","fn",1,1
"123","ome","cubsub",1,73.33272152,73.33,NA,1998-03-09,1998-03-09,400,13.14,400,13.14,"subadult",1997-07-06,NA,NA,NA,NA,NA,1997-02-02,NA,"talek",1998-07-29,NA,NA,"m","r","sx","tz",1,1
"124","opa","cubsub",1,73.79088238,73.79,NA,1998-12-09,1998-12-09,392,12.88,392,12.88,"subadult",1998-09-28,NA,NA,1999-05-26,"dls","inferred dead",1997-11-12,NA,"talek",1999-01-23,NA,NA,"m","r","gol","mig",1,2
"125","parc","cubsub",1,77.14083041,77.14,NA,2009-07-20,2009-07-20,363,11.93,363,11.93,"cub",2009-05-04,NA,NA,NA,"dls","double check: alive but with disappeared date",2008-07-22,NA,"talek",2009-07-18,NA,NA,"f","r","adon",NA,1,2
"126","pbut","cubsub",1,74.37419531,74.37,NA,2014-06-08,2014-06-08,339,11.14,339,11.14,"cub",2014-04-30,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-04,NA,"talek",2014-02-15,NA,NA,"f","r","parc",NA,1,1
"127","pces","cubsub",1,77.78915356,77.79,NA,2015-08-09,2015-08-09,615,20.2,615,20.2,"subadult",2014-11-05,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-12-02,NA,"talek",2014-12-08,NA,NA,"f","r","twst",NA,1,1
"128","pene","cubsub",1,77.04792881,77.05,NA,2011-04-27,2011-04-27,389,12.78,389,12.78,"subadult",2010-11-12,NA,NA,2016-11-26,"dead","unknown",2010-04-03,NA,"talek",2011-07-20,NA,NA,"m","r","guci",NA,NA,NA
"129","pica","cubsub",1,78.84143492,78.84,NA,2015-07-17,2015-07-17,546,17.94,546,17.94,"subadult",2014-07-24,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-01-17,NA,"talek",2014-06-29,NA,NA,"m","r","buar",NA,NA,NA
"130","pnc","cubsub",1,68.92894288,68.93,NA,2005-06-29,2005-06-29,368,12.09,368,12.09,"subadult",2005-04-29,NA,NA,NA,NA,NA,2004-06-26,NA,"talek",2005-08-03,NA,NA,"m","r","ali",NA,1,2
"131","psy","cubsub",1,65.60224381,65.6,NA,1997-06-08,1997-06-08,238,7.82,238,7.82,"cub",1997-06-12,NA,NA,1997-12-19,"dls","inferred dead",1996-10-13,NA,"talek",1997-08-07,NA,NA,"f","r","bail",NA,1,1
"132","puc","cubsub",1,68.82898999,68.83,NA,1998-03-14,1998-03-14,286,9.4,286,9.4,"cub",1998-01-21,NA,NA,2006-12-23,"dls","inferred dead",1997-06-01,NA,"talek",1998-08-11,NA,NA,"f","r","ger","fn",1,1
"133","que","cubsub",1,73.99354005,73.99,NA,2009-06-24,2009-06-24,432,14.19,432,14.19,"subadult",2008-11-17,NA,NA,NA,NA,NA,2008-04-18,NA,"talek",2009-04-23,NA,NA,"m","r","mp",NA,1,1
"134","rama","cubsub",1,73.29846898,73.3,NA,2014-07-07,2014-07-07,545,17.9,545,17.9,"subadult",2013-09-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-01-08,NA,"serena.n",2014-04-07,NA,NA,"f","r","tnsl",NA,0,NA
"135","rinc","cubsub",1,77.4841734,77.48,NA,1996-06-08,1996-06-08,312,10.25,312,10.25,"cub",1996-04-16,NA,NA,1997-05-09,"dls","inferred dead",1995-08-01,NA,"talek",1996-07-15,NA,NA,"m","r","jab","fn",1,2
"136","rion","cubsub",1,78.15698853,78.16,NA,2015-05-17,2015-05-17,383,12.58,383,12.58,"subadult",2014-11-24,NA,NA,NA,"dls","double check: alive but with disappeared date",2014-04-29,NA,"talek",2015-03-02,NA,NA,"m","r","hel",NA,1,1
"137","robn","cubsub",1,78.91125462,78.91,NA,2014-07-07,2014-07-07,449,14.75,449,14.75,"subadult",2013-12-26,NA,NA,2015-09-11,"dls","double check: alive but with disappeared date",2013-04-14,NA,"talek",2013-11-25,NA,NA,"m","r","aqua",NA,1,2
"138","roos","cubsub",1,76.59068163,76.59,NA,2008-10-13,2008-10-13,591,19.42,591,19.42,"subadult",NA,NA,NA,NA,"dls","double check: alive but with disappeared date",2007-03-02,NA,"talek",2008-07-24,NA,NA,"f","r","nav",NA,NA,NA
"139","rslg","cubsub",1,77.55989737,77.56,NA,2003-07-11,2003-07-11,422,13.86,422,13.86,"subadult",2003-04-09,NA,NA,NA,NA,NA,2002-05-15,NA,"talek",2003-09-08,NA,NA,"m","r","hml",NA,1,NA
"140","rump","cubsub",1,78.79819646,78.8,NA,2001-06-01,2001-06-01,341,11.2,341,11.2,"cub",2001-01-27,NA,NA,2003-05-17,"dls","humans (spear)",2000-06-25,NA,"talek",2001-08-25,NA,NA,"f","r","wr",NA,0,NA
"141","saki","cubsub",1,76.25651667,76.26,NA,2015-05-06,2015-05-06,525,17.25,525,17.25,"subadult",NA,"dbg",NA,2015-05-07,"dls","inferred dead",2013-11-27,NA,"talek",2014-07-04,NA,NA,"m","r","ted",NA,1,NA
"142","sco","cubsub",1,75.36172351,75.36,NA,1999-10-25,1999-10-25,679,22.31,679,22.31,"subadult",1998-10-14,NA,NA,NA,NA,NA,1997-12-15,NA,"talek",1998-10-18,NA,NA,"m","r","hob","mike",1,NA
"143","shb","cubsub",1,77.03503287,77.04,NA,2002-06-02,2002-06-02,440,14.45,440,14.45,"subadult",2001-12-05,NA,NA,2002-08-24,"dls","inferred dead",2001-03-19,NA,"talek",2001-11-26,NA,NA,"m","r","par",NA,NA,NA
"144","shfx","cubsub",1,77.82800192,77.83,NA,2012-06-06,2012-06-06,536,17.61,536,17.61,"subadult",2011-08-04,NA,NA,NA,NA,NA,2010-12-18,NA,"talek",2012-04-30,NA,NA,"m","r","blue",NA,1,1
"145","sie","cubsub",1,77.12681979,77.13,NA,1998-10-29,1998-10-29,348,11.43,348,11.43,"cub",1998-07-15,NA,NA,1999-02-02,"dls","inferred dead",1997-11-15,NA,"talek",1998-09-07,NA,NA,"f","r","gil","fa",0,1
"146","sks","cubsub",1,73.03384462,73.03,NA,1997-07-31,1997-07-31,654,21.48,654,21.48,"subadult",1996-05-30,NA,NA,NA,NA,NA,1995-10-16,NA,"talek",1997-07-15,NA,NA,"m","r","ot","rcn",1,2
"147","sopa","cubsub",1,74.87956695,74.88,NA,2014-07-22,2014-07-22,366,12.02,366,12.02,"subadult",2014-05-20,NA,NA,2016-01-15,"dls","fate unknown",2013-07-21,NA,"talek",2014-06-07,NA,NA,"m","r","wran",NA,NA,NA
"148","spng","cubsub",1,76.98106544,76.98,NA,2014-05-17,2014-05-17,560,18.4,560,18.4,"subadult",2013-08-08,NA,NA,NA,NA,NA,2012-11-03,NA,"talek",2013-09-22,NA,NA,"m","r","amaz",NA,1,NA
"149","sqa","cubsub",1,77.00331342,77,NA,2000-06-13,2000-06-13,397,13.04,397,13.04,"subadult",2000-01-30,NA,NA,2001-01-16,"dls","inferred dead",1999-05-13,NA,"talek",2000-07-08,NA,NA,"f","r","bern",NA,1,2
"150","srn","cubsub",1,73.28804605,73.29,NA,2009-09-22,2009-09-22,570,18.73,570,18.73,"subadult",2008-12-06,NA,NA,NA,NA,NA,2008-03-01,NA,"talek",2009-01-23,NA,NA,"m","r","pan",NA,1,2
"151","styr","cubsub",1,74.18162641,74.18,NA,2013-06-01,2013-06-01,594,19.51,594,19.51,"subadult",2012-06-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-10-16,NA,"talek",2012-10-27,NA,NA,"f","r","pan",NA,1,2
"152","sud","cubsub",1,76.14254475,76.14,NA,2001-10-22,2001-10-22,302,9.92,302,9.92,"cub",2001-07-24,NA,NA,2002-10-02,"dls","inferred dead",2000-12-24,NA,"talek",2001-12-28,NA,NA,"f","r","cr",NA,1,1
"153","suk","cubsub",1,76.81516802,76.82,NA,2010-07-06,2010-07-06,336,11.04,336,11.04,"cub",2010-05-22,NA,NA,2012-07-07,"dls","inferred dead",2009-08-04,NA,"talek",2010-07-30,NA,NA,"f","r","mp",NA,0,NA
"154","sun","cubsub",2,64.68721628,69.18,6.35,1993-07-09,1994-05-29,399,13.11,561,18.43,"subadult",1993-02-01,NA,NA,NA,NA,NA,1992-06-05,NA,"talek",1993-05-16,NA,NA,"m","r","23s",NA,1,2
"155","tang","cubsub",1,80.88985861,80.89,NA,2001-06-22,2001-06-22,351,11.53,351,11.53,"cub",2001-05-18,NA,NA,2001-11-30,"dls","inferred dead",2000-07-06,NA,"talek",2001-08-18,NA,NA,"f","r","puc",NA,1,2
"156","tast","cubsub",1,74.22500822,74.23,NA,2015-08-02,2015-08-02,691,22.7,691,22.7,"subadult",2014-06-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-09-10,NA,"talek",2014-08-05,NA,NA,"f","r","gel",NA,NA,NA
"157","tato","cubsub",1,77.55212541,77.55,NA,2014-02-19,2014-02-19,451,14.82,451,14.82,"subadult",2013-08-06,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-11-25,NA,"talek",2013-11-02,NA,NA,"f","r","loki",NA,1,NA
"158","tdum","cubsub",1,77.88375671,77.88,NA,1997-07-07,1997-07-07,474,15.57,474,15.57,"subadult",1996-12-19,NA,NA,NA,NA,NA,1996-03-20,NA,"talek",1997-04-28,NA,NA,"m","r","bb","stg",1,1
"159","teva","cubsub",1,76.15584505,76.16,NA,2009-11-05,2009-11-05,568,18.66,568,18.66,"subadult",2009-01-25,NA,NA,2010-01-29,"dls","fate unknown",2008-04-16,NA,"talek",2009-02-19,NA,NA,"m","r","hex",NA,0,NA
"160","thor","cubsub",1,72.71536665,72.72,NA,2002-12-15,2002-12-15,282,9.26,282,9.26,"cub",2002-11-10,NA,NA,2003-01-20,"dls","inferred dead",2002-03-08,NA,"talek",2002-12-08,NA,NA,"f","r","mrph",NA,1,NA
"161","tia","cubsub",1,73.73827944,73.74,NA,2003-12-30,2003-12-30,315,10.35,315,10.35,"cub",2003-10-27,NA,NA,2006-12-09,"dead","lions",2003-02-18,NA,"talek",2004-02-12,NA,NA,"f","r","mrph",NA,1,1
"162","tian","cubsub",1,75.72407474,75.72,NA,2014-08-01,2014-08-01,393,12.91,393,12.91,"subadult",2014-04-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-07-04,NA,"talek",2014-02-15,NA,NA,"f","r","parc",NA,1,2
"163","tica","cubsub",1,80.86904353,80.87,NA,2014-02-16,2014-02-16,500,16.43,500,16.43,"subadult",2013-07-29,NA,NA,NA,NA,NA,2012-10-04,NA,"talek",2013-08-28,NA,NA,"m","r","hel",NA,1,2
"164","tini","cubsub",1,78.69386374,78.69,NA,2004-05-21,2004-05-21,328,10.78,328,10.78,"cub",2004-04-29,NA,NA,NA,NA,NA,2003-06-28,NA,"talek",2004-06-28,NA,NA,"m","r","mp",NA,1,2
"165","tira","cubsub",1,78.37648547,78.38,NA,2015-05-08,2015-05-08,374,12.29,374,12.29,"subadult",2014-11-25,NA,NA,2017-11-08,"dls","double check: alive but with disappeared date",2014-04-29,NA,"talek",2015-03-02,NA,NA,"m","r","hel",NA,1,2
"166","tnks","cubsub",1,77.08458472,77.08,NA,2014-08-08,2014-08-08,511,16.79,511,16.79,"subadult",2014-01-03,NA,NA,NA,"dls","double check: alive but with disappeared date",2013-03-15,NA,"talek",2013-11-27,NA,NA,"f","r","alfe",NA,0,NA
"167","tpe","cubsub",2,76.30104575,77.25,1.35,2009-09-24,2009-11-06,257,8.44,278,9.15,"cub",2009-08-05,NA,NA,2013-05-28,"dls","inferred dead",2009-01-10,NA,"talek",2009-10-29,NA,NA,"f","r","mos",NA,1,2
"168","twst","cubsub",1,77.65458724,77.65,NA,2012-05-07,2012-05-07,431,14.16,431,14.16,"subadult",2011-11-19,NA,NA,2018-03-30,"dls","double check: alive but with disappeared date",2011-03-03,NA,"talek",2012-05-30,NA,NA,"f","r","adon",NA,0,NA
"169","umbr","cubsub",1,76.35363586,76.35,NA,2015-01-31,2015-01-31,679,22.31,679,22.31,"subadult",2014-01-07,NA,NA,2018-05-01,"dls","double check: alive but with disappeared date",2013-03-23,NA,"talek",2013-12-04,NA,NA,"f","r","mgta",NA,1,1
"170","van","cubsub",1,73.20848957,73.21,NA,2011-06-03,2011-06-03,462,15.18,462,15.18,"subadult",2010-09-29,NA,NA,2012-06-20,"dls","inferred dead",2010-02-26,NA,"talek",2011-02-25,"error",NA,"f","r","arg",NA,1,1
"171","vdg","cubsub",1,73.20665024,73.21,NA,2009-07-14,2009-07-14,607,19.94,607,19.94,"subadult",2008-07-10,NA,NA,2010-08-03,"dls","inferred dead",2007-11-15,NA,"talek",2008-11-25,NA,NA,"f","r","ali",NA,1,2
"172","vwil","cubsub",1,76.98629684,76.99,NA,2011-05-14,2011-05-14,410,13.47,410,13.47,"subadult",2011-01-01,NA,NA,2011-09-19,"dls","inferred dead",2010-03-30,NA,"talek",2011-06-25,NA,NA,"m","r","baez",NA,1,2
"173","whh","cubsub",1,73.88443073,73.88,NA,1999-02-22,1999-02-22,359,11.79,359,11.79,"cub",1998-10-02,NA,NA,2004-10-15,"dead",NA,1998-02-28,NA,"talek",1999-01-03,NA,NA,"f","r","nav","zig",0,NA
"174","whi","cubsub",1,75.6086805,75.61,NA,2001-03-27,2001-03-27,368,12.09,368,12.09,"subadult",2000-09-09,NA,NA,NA,NA,NA,2000-03-24,NA,"talek",2001-06-22,NA,NA,"m","r","hg",NA,1,1
"175","wran","cubsub",1,75.47408759,75.47,NA,2011-05-20,2011-05-20,492,16.16,492,16.16,"subadult",2010-11-04,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-01-13,NA,"talek",2010-10-25,NA,NA,"f","r","ffl",NA,1,2
"176","wrth","cubsub",1,78.29408211,78.29,NA,2014-07-12,2014-07-12,622,20.43,622,20.43,"subadult",2013-07-29,NA,NA,NA,"dls","double check: alive but with disappeared date",2012-10-28,NA,"talek",2013-06-03,NA,NA,"f","r","arg",NA,1,NA
"177","xena","cubsub",1,77.93361878,77.93,NA,2013-05-05,2013-05-05,527,17.31,527,17.31,"subadult",2012-08-17,NA,NA,NA,NA,NA,2011-11-25,NA,"talek",2013-03-22,NA,NA,"m","r","loki",NA,0,NA
"178","xnon","cubsub",1,76.96143505,76.96,NA,2011-04-24,2011-04-24,466,15.31,466,15.31,"subadult",2010-10-09,NA,NA,2014-04-12,"dead","poison (april 2014 incident)",2010-01-13,NA,"talek",2010-09-14,NA,NA,"f","r","yog",NA,1,1
"179","yaz","cubsub",1,78.33793128,78.34,NA,2010-06-15,2010-06-15,561,18.43,561,18.43,"subadult",2009-06-24,NA,NA,NA,NA,NA,2008-12-01,NA,"talek",2009-12-20,"error",NA,"m","r","aqua",NA,0,NA
"180","yet","cubsub",1,76.26205727,76.26,NA,1998-10-20,1998-10-20,468,15.37,468,15.37,"subadult",1997-12-04,NA,NA,NA,NA,NA,1997-07-09,NA,"talek",1998-07-18,NA,NA,"m","r","kip","mike",1,1
"181","yoda","cubsub",1,76.96192014,76.96,NA,2002-03-10,2002-03-10,282,9.26,282,9.26,"cub",2002-01-19,NA,NA,2003-01-15,"dls","inferred dead",2001-06-01,NA,"talek",2001-12-13,NA,NA,"f","r","sein",NA,1,1
"182","yosh","cubsub",1,75.66162619,75.66,NA,2010-07-08,2010-07-08,388,12.75,388,12.75,"subadult",NA,NA,NA,NA,NA,NA,2009-06-15,NA,"talek.e",2010-01-15,"error",NA,"f","r","cart",NA,1,1
"183","zc","cubsub",1,77.29777249,77.3,NA,2001-10-24,2001-10-24,225,7.39,225,7.39,"cub",2001-10-09,NA,NA,2005-05-16,"dead","humans",2001-03-13,NA,"talek",2002-01-27,NA,NA,"f","r","ath",NA,0,NA
"184","zim","cubsub",1,76.58965334,76.59,NA,1999-11-07,1999-11-07,343,11.27,343,11.27,"cub",1999-08-04,NA,NA,2002-12-12,"dls","inferred dead",1998-11-29,NA,"talek",2000-02-23,NA,NA,"f","r","cr","zig",1,1
"185","zing","cubsub",1,71.6091276,71.61,NA,1996-07-27,1996-07-27,261,8.57,261,8.57,"cub",1996-06-29,NA,NA,1997-07-24,"dls","inferred dead",1995-11-09,NA,"talek",1996-09-03,NA,NA,"f","r","dj","tz",1,2
"186","ziti","cubsub",1,76.95339418,76.95,NA,2011-04-27,2011-04-27,389,12.78,389,12.78,"subadult",2010-11-12,NA,NA,NA,"dls","double check: alive but with disappeared date",2010-04-03,NA,"talek",2011-07-14,NA,NA,"m","r","guci",NA,1,2
